"","dow","hour","nbrhood","count"
"653",0,5,"SanMAR",7
"654",0,5,"SanMDT",5
"655",0,5,"SanMIA",10
"656",0,5,"SanMIR",17
"657",0,5,"SanMIS",6
"658",0,5,"SanMON",10
"659",0,5,"SanMOR",5
"660",0,5,"SanMRM",2
"661",0,5,"SanMSH",14
"662",0,5,"SanMST",6
"663",0,5,"SanMTO",5
"664",0,5,"SanNES",13
"665",0,5,"SanNOA",11
"666",0,5,"SanNOR",2
"667",0,5,"SanNRM",7
"668",0,5,"SanNRT",29
"669",0,5,"SanNUV",19
"670",0,5,"SanOCN",23
"671",0,5,"SanOEC",6
"672",0,5,"SanOKP",8
"673",0,5,"SanOOL",4
"674",0,5,"SanOTM",10
"675",0,5,"SanPAL",3
"676",0,5,"SanPAR",8
"677",0,5,"SanPCF",50
"678",0,5,"SanPON",7
"679",0,5,"SanPRK",4
"680",0,5,"SanRAN",10
"681",0,5,"SanRAO",1
"682",0,5,"SanRED",4
"683",0,5,"SanRID",3
"684",0,5,"SanRNC",11
"685",0,5,"SanROL",11
"686",0,5,"SanROS",4
"687",0,5,"SanSCR",1
"688",0,5,"SanSER",12
"689",0,5,"SanSHE",4
"690",0,5,"SanSHR",2
"691",0,5,"SanSKL",2
"692",0,5,"SanSNC",3
"693",0,5,"SanSNS",28
"694",0,5,"SanSOR",2
"695",0,5,"SanSOU",5
"696",0,5,"SanSSI",13
"697",0,5,"SanSTH",5
"698",0,5,"SanSTO",6
"699",0,5,"SanSWA",6
"700",0,5,"SanTAL",12
"701",0,5,"SanTER",6
"702",0,5,"SanTIJ",1
"703",0,5,"SanTIR",7
"704",0,5,"SanTOM",11
"705",0,5,"SanTOR",2
"706",0,5,"SanTRL",4
"707",0,5,"SanTRR",1
"708",0,5,"SanTRV",1
"709",0,5,"SanUIN",7
"710",0,5,"SanVAL",4
"711",0,5,"SanWOD",1
"712",0,6,"NONE",860
"713",0,6,"SanADM",2
"714",0,6,"SanALL",3
"715",0,6,"SanALT",1
"716",0,6,"SanAZL",1
"717",0,6,"SanBAH",1
"718",0,6,"SanBAL",1
"719",0,6,"SanBAP",5
"720",0,6,"SanBAR",16
"721",0,6,"SanBAT",12
"722",0,6,"SanBIR",5
"723",0,6,"SanBLA",1
"724",0,6,"SanBOR",31
"725",0,6,"SanCAE",2
"726",0,6,"SanCAL",11
"727",0,6,"SanCAR",11
"728",0,6,"SanCAS",7
"729",0,6,"SanCHE",4
"730",0,6,"SanCHL",4
"731",0,6,"SanCHO",1
"732",0,6,"SanCLL",4
"733",0,6,"SanCLN",7
"734",0,6,"SanCLR",3
"735",0,6,"SanCOE",3
"736",0,6,"SanCOR",15
"737",0,6,"SanCRR",2
"738",0,6,"SanDLC",2
"739",0,6,"SanEAN",7
"740",0,6,"SanEAS",25
"741",0,6,"SanEGG",3
"742",0,6,"SanELC",7
"743",0,6,"SanEMR",1
"744",0,6,"SanFAI",1
"745",0,6,"SanFRM",8
"746",0,6,"SanGAS",7
"747",0,6,"SanGOL",8
"748",0,6,"SanGRA",11
"749",0,6,"SanGRN",5
"750",0,6,"SanHAR",2
"751",0,6,"SanHIL",16
"752",0,6,"SanHOR",2
"753",0,6,"SanIDW",17
"754",0,6,"SanISS",5
"755",0,6,"SanJAM",4
"756",0,6,"SanKEN",4
"757",0,6,"SanKER",14
"758",0,6,"SanLAJ",8
"759",0,6,"SanLAK",5
"760",0,6,"SanLAP",1
"761",0,6,"SanLIN",13
"762",0,6,"SanLIT",4
"763",0,6,"SanLNC",4
"764",0,6,"SanLOG",12
"765",0,6,"SanLOM",3
"766",0,6,"SanMAR",8
"767",0,6,"SanMDT",6
"768",0,6,"SanMIA",5
"769",0,6,"SanMIR",9
"770",0,6,"SanMIS",9
"771",0,6,"SanMON",9
"772",0,6,"SanMOR",5
"773",0,6,"SanMSH",6
"774",0,6,"SanMST",6
"775",0,6,"SanMTO",3
"776",0,6,"SanNES",6
"777",0,6,"SanNOA",5
"778",0,6,"SanNOR",1
"779",0,6,"SanNRM",5
"780",0,6,"SanNRT",23
"781",0,6,"SanNUV",8
"782",0,6,"SanOCN",14
"783",0,6,"SanOEC",5
"784",0,6,"SanOKP",6
"785",0,6,"SanOOL",4
"786",0,6,"SanOTM",2
"787",0,6,"SanPAL",1
"788",0,6,"SanPAR",7
"789",0,6,"SanPCF",38
"790",0,6,"SanPET",1
"791",0,6,"SanPON",12
"792",0,6,"SanPRK",8
"793",0,6,"SanRAN",3
"794",0,6,"SanRED",7
"795",0,6,"SanRID",4
"796",0,6,"SanRNC",10
"797",0,6,"SanROL",11
"798",0,6,"SanROS",3
"799",0,6,"SanSCR",4
"800",0,6,"SanSER",22
"801",0,6,"SanSHR",1
"802",0,6,"SanSKL",3
"803",0,6,"SanSNC",5
"804",0,6,"SanSNS",25
"805",0,6,"SanSOR",7
"806",0,6,"SanSOU",1
"807",0,6,"SanSSI",12
"808",0,6,"SanSTH",1
"809",0,6,"SanSTO",5
"810",0,6,"SanSWA",6
"811",0,6,"SanTAL",9
"812",0,6,"SanTER",7
"813",0,6,"SanTIJ",1
"814",0,6,"SanTIR",5
"815",0,6,"SanTOM",13
"816",0,6,"SanTOR",2
"817",0,6,"SanTRL",2
"818",0,6,"SanTRR",1
"819",0,6,"SanTRV",1
"820",0,6,"SanUIN",7
"821",0,6,"SanVAL",6
"822",0,6,"SanWOD",2
"823",0,7,"NONE",1096
"824",0,7,"SanADM",8
"825",0,7,"SanALL",9
"826",0,7,"SanALT",2
"827",0,7,"SanAZL",3
"828",0,7,"SanBAH",2
"829",0,7,"SanBAL",4
"830",0,7,"SanBAP",9
"831",0,7,"SanBAR",30
"832",0,7,"SanBAT",13
"833",0,7,"SanBIR",4
"834",0,7,"SanBLA",2
"835",0,7,"SanBOR",21
"836",0,7,"SanCAE",2
"837",0,7,"SanCAL",19
"838",0,7,"SanCAR",8
"839",0,7,"SanCAS",8
"840",0,7,"SanCHE",8
"841",0,7,"SanCHL",3
"842",0,7,"SanCHO",6
"843",0,7,"SanCLL",5
"844",0,7,"SanCLN",14
"845",0,7,"SanCLR",4
"846",0,7,"SanCOE",4
"847",0,7,"SanCOR",28
"848",0,7,"SanCRR",11
"849",0,7,"SanCRT",6
"850",0,7,"SanDLC",2
"851",0,7,"SanDLM",1
"852",0,7,"SanEAN",9
"853",0,7,"SanEAS",45
"854",0,7,"SanEGG",3
"855",0,7,"SanELC",4
"856",0,7,"SanEMR",4
"857",0,7,"SanFAI",4
"858",0,7,"SanFRM",6
"859",0,7,"SanGAS",10
"860",0,7,"SanGOL",14
"861",0,7,"SanGRA",10
"862",0,7,"SanGRN",2
"863",0,7,"SanHAR",2
"864",0,7,"SanHIL",26
"865",0,7,"SanHOR",1
"866",0,7,"SanIDW",22
"867",0,7,"SanISS",7
"868",0,7,"SanJAM",1
"869",0,7,"SanKEN",3
"870",0,7,"SanKER",14
"871",0,7,"SanLAJ",28
"872",0,7,"SanLAK",8
"873",0,7,"SanLAP",3
"874",0,7,"SanLIN",14
"875",0,7,"SanLIT",2
"876",0,7,"SanLNC",8
"877",0,7,"SanLOG",18
"878",0,7,"SanLOM",2
