"","date","count"
"743","2009-01-12",475
"744","2009-01-13",420
"745","2009-01-14",462
"746","2009-01-15",459
"747","2009-01-16",542
"748","2009-01-17",503
"749","2009-01-18",463
"750","2009-01-19",433
"751","2009-01-20",504
"752","2009-01-21",501
"753","2009-01-22",489
"754","2009-01-23",533
"755","2009-01-24",467
"756","2009-01-25",406
"757","2009-01-26",376
"758","2009-01-27",416
"759","2009-01-28",457
"760","2009-01-29",462
"761","2009-01-30",523
"762","2009-01-31",513
"763","2009-02-01",505
"764","2009-02-02",441
"765","2009-02-03",493
"766","2009-02-04",460
"767","2009-02-05",468
"768","2009-02-06",560
"769","2009-02-07",465
"770","2009-02-08",412
"771","2009-02-09",438
"772","2009-02-10",391
"773","2009-02-11",435
"774","2009-02-12",497
"775","2009-02-13",496
"776","2009-02-14",498
"777","2009-02-15",425
"778","2009-02-16",403
"779","2009-02-17",440
"780","2009-02-18",425
"781","2009-02-19",457
"782","2009-02-20",504
"783","2009-02-21",517
"784","2009-02-22",418
"785","2009-02-23",441
"786","2009-02-24",454
"787","2009-02-25",438
"788","2009-02-26",436
"789","2009-02-27",538
"790","2009-02-28",525
"791","2009-03-01",525
"792","2009-03-02",449
"793","2009-03-03",453
"794","2009-03-04",463
"795","2009-03-05",477
"796","2009-03-06",540
"797","2009-03-07",511
"798","2009-03-08",402
"799","2009-03-09",384
"800","2009-03-10",460
"801","2009-03-11",464
"802","2009-03-12",469
"803","2009-03-13",553
"804","2009-03-14",499
"805","2009-03-15",428
"806","2009-03-16",444
"807","2009-03-17",474
"808","2009-03-18",458
"809","2009-03-19",402
"810","2009-03-20",541
"811","2009-03-21",482
"812","2009-03-22",415
"813","2009-03-23",418
"814","2009-03-24",449
"815","2009-03-25",452
"816","2009-03-26",463
"817","2009-03-27",534
"818","2009-03-28",548
"819","2009-03-29",412
"820","2009-03-30",402
"821","2009-03-31",407
"822","2009-04-01",576
"823","2009-04-02",465
"824","2009-04-03",553
"825","2009-04-04",519
"826","2009-04-05",473
"827","2009-04-06",437
"828","2009-04-07",422
"829","2009-04-08",434
"830","2009-04-09",450
"831","2009-04-10",461
"832","2009-04-11",434
"833","2009-04-12",400
"834","2009-04-13",436
"835","2009-04-14",382
"836","2009-04-15",459
"837","2009-04-16",477
"838","2009-04-17",560
"839","2009-04-18",511
"840","2009-04-19",410
"841","2009-04-20",437
"842","2009-04-21",398
"843","2009-04-22",415
"844","2009-04-23",444
"845","2009-04-24",569
"846","2009-04-25",500
"847","2009-04-26",426
"848","2009-04-27",436
"849","2009-04-28",433
"850","2009-04-29",415
"851","2009-04-30",432
"852","2009-05-01",622
"853","2009-05-02",513
"854","2009-05-03",453
"855","2009-05-04",430
"856","2009-05-05",452
"857","2009-05-06",435
"858","2009-05-07",457
"859","2009-05-08",538
"860","2009-05-09",534
"861","2009-05-10",448
"862","2009-05-11",369
"863","2009-05-12",395
"864","2009-05-13",428
"865","2009-05-14",432
"866","2009-05-15",628
"867","2009-05-16",548
"868","2009-05-17",459
